reference_period,Local_Government_Area,CSA_Offence_Division,CSA_Offence_Subdivision,Offence_Count,LGA_ERP,Victorian_ERP
2011,yarra,F Other offences,F20 Transport regulation offences,7,78903,5537817
2011,yarra,F Other offences,F30 Other government regulatory offences,30,78903,5537817
2011,yarra,F Other offences,F90 Miscellaneous offences,125,78903,5537817
2011,bass coast,A Crimes against the person,A20 Assault and related offences,249,30233,5537817
2011,bass coast,A Crimes against the person,A30 Sexual offences,78,30233,5537817
2011,bass coast,A Crimes against the person,A40 Abduction and related offences,3,30233,5537817
2011,bass coast,A Crimes against the person,A50 Robbery,4,30233,5537817
2011,bass coast,A Crimes against the person,A60 Blackmail and extortion,2,30233,5537817
2011,bass coast,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",84,30233,5537817
2011,bass coast,A Crimes against the person,A80 Dangerous and negligent acts endangering people,27,30233,5537817
2011,bass coast,B Property and deception offences,B10 Arson,9,30233,5537817
